,id,ori_path,adv_path,audibility2
1556,4446-2273-0008-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2273/4446-2273-0008.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2273-0008_adv_x/wav_x_adv_i2_0.0421462817955871.wav,0.0421462817955871
3462,6829-68769-0021-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0021.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0021_adv_x/wav_x_adv_i3_0.04299255810787097.wav,0.04299255810787097
6110,1221-135767-0000-i14,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1221/135767/1221-135767-0000.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1221-135767-0000_adv_x/wav_x_adv_i14_0.03771649289076905.wav,0.03771649289076905
6375,1221-135767-0000-i15,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1221/135767/1221-135767-0000.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1221-135767-0000_adv_x/wav_x_adv_i15_0.03983451683018585.wav,0.03983451683018585
6418,1221-135767-0000-i16,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1221/135767/1221-135767-0000.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1221-135767-0000_adv_x/wav_x_adv_i16_0.043419069256715855.wav,0.043419069256715855
6478,1221-135767-0000-i17,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1221/135767/1221-135767-0000.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1221-135767-0000_adv_x/wav_x_adv_i17_0.04625140313742461.wav,0.04625140313742461
6939,6829-68769-0033-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/6829/68769/6829-68769-0033.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_6829-68769-0033_adv_x/wav_x_adv_i3_0.045289721489096324.wav,0.045289721489096324
7762,8455-210777-0030-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8455/210777/8455-210777-0030.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8455-210777-0030_adv_x/wav_x_adv_i3_0.039674082015735204.wav,0.039674082015735204
8157,1580-141083-0011-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1580/141083/1580-141083-0011.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1580-141083-0011_adv_x/wav_x_adv_i2_0.03270120656582935.wav,0.03270120656582935
9519,4446-2271-0011-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4446/2271/4446-2271-0011.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4446-2271-0011_adv_x/wav_x_adv_i1_0.040633269352594446.wav,0.040633269352594446
10502,4970-29093-0015-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/4970/29093/4970-29093-0015.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_4970-29093-0015_adv_x/wav_x_adv_i1_0.03494343762266143.wav,0.03494343762266143
14122,8224-274384-0010-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8224/274384/8224-274384-0010.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8224-274384-0010_adv_x/wav_x_adv_i4_0.03602420512417267.wav,0.03602420512417267
14520,1580-141083-0002-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1580/141083/1580-141083-0002.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1580-141083-0002_adv_x/wav_x_adv_i2_0.034073125692188413.wav,0.034073125692188413
21171,61-70970-0021-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/61/70970/61-70970-0021.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_61-70970-0021_adv_x/wav_x_adv_i3_0.054085940751787145.wav,0.054085940751787145
